cg00008629	9:114593661-115593661
cg01975495	7:100279017-101279017
cg01983725	1:226661799-227661799
cg02008402	11:100183448-101183448
cg02023138	12:51201979-52201979
cg02030454	1:34750489-35750489
cg02039839	7:515730-1515730
cg02048220	14:90641833-91641833
cg02050917	1:1673571-2673571
cg02068690	2:25100451-26100451
cg02088996	7:41317771-42317771
cg02097120	1:153992952-154992952
cg02097604	17:17250910-18250910
cg02107842	5:65755772-66755772
cg02112168	14:45079561-46079561
cg02210115	13:49490767-50490767
cg02212836	6:6089075-7089075
cg02213678	16:84612535-85612535
cg02323699	11:112635432-113635432
cg02325250	5:130909289-131909289
cg02329670	17:6421400-7421400
cg02341197	21:33685927-34685927
cg02349866	15:89891877-90891877
cg02371935	16:87021363-88021363
cg02387843	4:9392887-10392887
cg02416986	1:43946201-44946201
cg02417427	5:78979211-79979211
cg02438611	17:55328107-56328107
cg02447879	17:78893682-79893682
cg02448796	1:5601339-6601339
cg02464912	14:63819543-64819543
cg02481950	16:21165002-22165002
cg02493939	19:33294746-34294746
cg02504211	3:194315434-195315434
cg02508743	8:56403623-57403623
cg02529547	17:47759089-48759089
cg02532700	22:36757404-37757404
cg02538248	16:74545643-75545643
cg02544257	16:70010663-71010663
cg02556393	3:168366705-169366705
cg02560388	2:11469958-12469958
cg02578470	3:126820670-127820670
cg02600394	4:47636234-48636234
cg02610360	11:119697521-120697521
cg02618071	17:41906184-42906184
cg02641539	8:104851190-105851190
cg02650017	17:46801614-47801614
cg02656560	17:19467600-20467600
cg02716826	9:32947032-33947032
cg02719954	8:23330907-24330907
cg02722808	10:105095043-106095043
cg02730804	5:125299820-126299820
cg02734358	4:89727074-90727074
cg02749511	2:174196522-175196522
cg02767093	13:98630655-99630655
cg02772121	6:29630881-30630881
cg02779016	15:43309689-44309689
cg02805890	6:27278836-28278836
cg02812767	15:73718468-74718468
cg02835462	1:45891567-46891567
cg02840585	1:1590953-2590953
cg02846963	4:181930815-182930815
cg02849507	16:13551717-14551717
cg02867102	17:61898693-62898693
cg02879453	16:49821818-50821818
cg02893429	2:37904263-38904263
cg02946885	14:89878680-90878680
cg02956542	1:152821421-153821421
cg02976843	17:2343257-3343257
cg02990302	16:57655189-58655189
cg02991558	11:113628517-114628517
cg03029755	17:75765444-76765444
cg03047995	14:24101588-25101588
cg03078551	17:41156298-42156298
cg03078690	6:32735504-33735504
cg03125341	6:157382207-158382207
cg03128029	2:202643288-203643288
cg03139435	20:54466401-55466401
cg03147185	2:96508030-97508030
cg03149958	6:35826677-36826677
cg03159676	16:85100536-86100536
cg03179542	7:2147333-3147333
cg03183540	8:134431756-135431756
cg03211593	11:44231693-45231693
cg03218374	20:396981-1396981
cg03252770	4:153854354-154854354
cg03254336	10:114135839-115135839
cg03257930	9:109899293-110899293
cg03272310	17:39204454-40204454
cg03273183	10:90261751-91261751
cg03290131	10:111763831-112763831
cg03290827	17:74680760-75680760
cg03295554	11:127895450-128895450
cg03297731	16:29624293-30624293
cg03303585	4:75085178-76085178
cg03318904	22:39301522-40301522
cg03328299	15:73781983-74781983
cg03354554	11:9281412-10281412
cg03373887	22:43889424-44889424
cg03381359	10:101104027-102104027
cg03398461	5:156191755-157191755
cg03411579	12:76052736-77052736
cg03431738	21:39531295-40531295
cg03438552	6:32305548-33305548
cg03450635	4:158594213-159594213
cg03450842	10:80334947-81334947
cg03466342	12:52253899-53253899
cg03482883	16:1293303-2293303
cg03492094	9:91494786-92494786
cg03497652	16:4251569-5251569
cg03500056	16:8314507-9314507
cg03508235	14:22945994-23945994
cg03523676	14:24040235-25040235
cg03546806	12:113797307-114797307
cg03550773	14:34663458-35663458
cg03590328	7:2184462-3184462
cg03593014	10:98477821-99477821
cg03636183	19:16500585-17500585
cg03663120	7:1784600-2784600
cg03671075	4:78073680-79073680
cg03697881	7:40303287-41303287
cg03699074	16:88349875-89349875
cg03699843	16:50201064-51201064
cg03707168	19:48879127-49879127
cg03725309	1:109257585-110257585
cg03725573	11:113462901-114462901
cg03746015	16:10641000-11641000
cg03747456	12:52086127-53086127
cg03750061	10:118631167-119631167
cg03788408	16:3941939-4941939
cg03800922	6:73790220-74790220
cg03819286	16:4173974-5173974
cg03850035	2:221867110-222867110
cg03875678	14:24603546-25603546
cg03881294	2:11384333-12384333
cg03889044	2:242302099-243302099
cg03891318	3:138872675-139872675
cg03935116	12:30976565-31976565
cg03940776	6:157990013-158990013
cg03951877	6:12620250-13620250
cg03957124	6:36516869-37516869
cg03963219	2:84209147-85209147
cg03963853	16:4232369-5232369
cg03978682	5:52911773-53911773
cg03992323	1:223523297-224523297
cg03998636	13:110710121-111710121
cg04010915	12:110047053-111047053
cg04011474	2:28404455-29404455
cg04033022	16:88689383-89689383
cg04037707	7:154204915-155204915
cg04086394	1:192582764-193582764
cg04111102	1:65653794-66653794
cg04118102	17:15324118-16324118
cg04121771	3:148691624-149691624
cg04158018	12:54196210-55196210
cg04193065	15:31028995-32028995
cg04202511	16:67617991-68617991
cg04212285	7:156842638-157842638
cg04221461	1:243377024-244377024
cg04232128	5:138361241-139361241
cg04232816	2:96405390-97405390
cg04255937	12:121769675-122769675
cg04286697	2:231759623-232759623
cg04304450	22:43025431-44025431
cg04323925	10:133242464-134242464
cg04324276	17:17317462-18317462
cg04324917	16:87234877-88234877
cg04326337	20:36164969-37164969
cg04424621	6:26601941-27601941
cg04433322	17:41846894-42846894
cg04445427	8:133199791-134199791
cg04464719	17:3324422-4324422
cg04465154	8:8545558-9545558
cg04508739	14:56763369-57763369
cg04523589	3:47765146-48765146
cg04539476	14:22851487-23851487
cg04542977	1:51482669-52482669
cg04557677	19:17459082-18459082
cg04567445	1:65230409-66230409
cg04577162	7:73167397-74167397
cg04605590	5:147685121-148685121
cg04610187	17:75860794-76860794
cg04657325	4:184935601-185935601
cg04682775	1:43995089-44995089
cg04750536	20:19415857-20415857
cg04757345	4:128418835-129418835
cg04813697	10:22420025-23420025
cg04816311	7:566650-1566650
cg04881228	2:64057277-65057277
cg04890480	1:180573734-181573734
cg04890607	12:65762214-66762214
cg04891040	16:65899929-66899929
cg04891053	1:160553558-161553558
cg04945608	20:42618723-43618723
cg04949225	13:50296845-51296845
cg04973995	10:73557977-74557977
cg04986899	16:17053784-18053784
cg04987734	14:102915873-103915873
cg05007163	22:38766069-39766069
cg05014727	10:5714016-6714016
cg05017199	7:149997065-150997065
cg05045702	16:30116285-31116285
cg05049312	14:92906016-93906016
cg05058313	7:121817958-122817958
cg05091997	17:60397721-61397721
cg05116378	3:140877105-141877105
cg05131266	14:91091888-92091888
cg05155595	2:69508161-70508161
cg05168229	13:44890049-45890049
cg05181212	4:86730737-87730737
cg05209483	17:6982986-7982986
cg05246100	7:54746275-55746275
cg05248321	14:20398128-21398128
cg05257202	13:99434873-100434873
cg05279866	8:36878355-37878355
cg05294455	17:44786609-45786609
cg05295703	2:102395712-103395712
cg05304729	1:158300024-159300024
cg05316065	8:130299007-131299007
cg05316627	6:87361261-88361261
cg05318454	19:45617805-46617805
cg05399785	1:3064031-4064031
cg05400196	6:41772048-42772048
cg05405914	16:8472233-9472233
cg05413285	2:151037993-152037993
cg05433557	7:157825024-158825024
cg05438378	15:66883736-67883736
cg05503062	15:89824339-90824339
cg05522498	11:125711099-126711099
cg05555337	17:46169113-47169113
cg05568549	6:41407198-42407198
cg05573654	5:1018179-2018179
cg05575921	5:0-873378
cg05603784	16:87999083-88999083
cg05603985	1:1661049-2661049
cg05624954	5:178840170-179840170
cg05632420	7:130293732-131293732
cg05668853	17:26544169-27544169
cg05673882	5:74362702-75362702
cg05721773	1:206583336-207583336
cg05759948	10:54032533-55032533
cg05778424	17:54669508-55669508
cg05814312	10:29260687-30260687
cg05820066	16:74645843-75645843
cg05820396	11:110555240-111555240
cg05825244	20:2230488-3230488
cg05845030	12:91073247-92073247
cg05847519	16:83329911-84329911
cg05857996	20:2175418-3175418
cg05870586	2:239696769-240696769
cg05874806	2:101850276-102850276
cg05899984	12:124538763-125538763
cg05988548	7:38195932-39195932
cg06008511	15:90227886-91227886
cg06012428	6:156977204-157977204
cg06015525	12:57372123-58372123
cg06017212	17:978463-1978463
cg06021088	2:127322551-128322551
cg06032302	5:131262646-132262646
cg06071604	13:99569110-100569110
cg06086933	1:99826491-100826491
cg06092244	2:48296151-49296151
cg06121808	2:112904678-113904678
cg06126421	6:30220080-31220080
cg06151145	4:47846434-48846434
cg06164260	3:186954439-187954439
cg06177555	16:29178624-30178624
cg06178887	19:42099631-43099631
cg06189394	3:66034050-67034050
cg06192883	15:52054171-53054171
cg06197751	3:153412866-154412866
cg06226150	20:61869956-62869956
cg06235429	11:66873114-67873114
cg06248061	10:134872380-135872380
cg06262098	7:4913872-5913872
cg06285727	11:72024028-73024028
cg06372654	7:127544655-128544655
cg06388350	4:94834135-95834135
cg06433467	5:67230071-68230071
cg06442294	19:17904194-18904194
cg06484123	19:52607200-53607200
cg06499778	11:130005164-131005164
cg06532880	5:176231545-177231545
cg06547285	12:47130263-48130263
cg06553792	17:70628239-71628239
cg06559575	12:52990352-53990352
cg06559756	17:64964297-65964297
cg06560379	6:43731305-44731305
cg06567920	4:129082864-130082864
cg06568490	3:13025965-14025965
cg06599169	19:17473311-18473311
cg06619077	1:47156003-48156003
cg06625767	5:176336695-177336695
cg06629453	2:98352910-99352910
cg06647068	12:104353274-105353274
cg06682445	7:43415791-44415791
cg06690548	4:138662808-139662808
cg06710464	17:78547695-79547695
cg06715330	17:79658206-80658206
cg06724236	14:67353825-68353825
cg06755438	2:219385614-220385614
cg06762457	6:149306635-150306635
cg06779113	1:227773674-228773674
cg06791867	11:44380944-45380944
cg06792126	15:89865488-90865488
cg06806711	11:59723291-60723291
cg06826457	12:12367669-13367669
cg06836480	2:169428251-170428251
cg06872019	13:31088778-32088778
cg06876354	2:120520189-121520189
cg06881965	14:69100007-70100007
cg06898549	12:40583590-41583590
cg06946797	16:10922409-11922409
cg06970472	4:40410981-41410981
cg06981309	3:145760954-146760954
cg06992324	2:121822947-122822947
cg07008193	11:45818527-46818527
cg07012687	17:79695180-80695180
cg07021906	16:87366833-88366833
cg07031070	6:28043670-29043670
cg07035242	1:10836263-11836263
cg07037944	15:63790807-64790807
cg07052041	10:134592104-135592104
cg07058694	12:111409145-112409145
cg07069636	16:30171749-31171749
cg07069844	19:1117027-2117027
cg07071449	2:238277806-239277806
cg07078732	2:30005165-31005165
cg07092212	11:45882544-46882544
cg07094298	4:2248026-3248026
cg07099567	14:81280369-82280369
cg07120889	1:150035935-151035935
cg07121693	10:43648437-44648437
cg07136133	11:35922377-36922377
cg07196571	15:63942578-64942578
cg07198150	1:86123101-87123101
cg07202479	1:158674162-159674162
cg07217499	12:1916339-2916339
cg07219844	10:134623764-135623764
cg07243202	8:133815520-134815520
cg07244253	1:153798839-154798839
cg07267600	12:2250053-3250053
cg07276358	13:113763342-114763342
cg07286682	15:68947132-69947132
cg07329251	11:9976662-10976662
cg07359306	3:52311297-53311297
cg07391913	3:56318298-57318298
cg07398517	3:29827579-30827579
cg07434438	16:72461899-73461899
cg07456681	16:14646876-15646876
cg07458272	19:34244396-35244396
cg07469815	2:173549232-174549232
cg07473138	10:121713951-122713951
cg07504977	10:101631012-102631012
cg07512993	16:66082592-67082592
cg07533239	12:5922131-6922131
cg07551060	10:120575316-121575316
cg07631309	10:105520930-106520930
cg07661704	4:138644433-139644433
cg07672051	5:149387787-150387787
cg07682160	19:18459935-19459935
cg07696514	8:41688597-42688597
cg07708487	16:88887014-89887014
cg07711192	12:13926994-14926994
cg07719512	2:218746576-219746576
cg07719604	16:66732460-67732460
cg07728579	15:82975013-83975013
cg07739369	17:79741456-80741456
cg07784959	2:136373409-137373409
cg07793033	16:84756423-85756423
cg07805542	1:9279309-10279309
cg07807757	7:50394570-51394570
cg07814318	15:31124584-32124584
cg07824636	1:221467245-222467245
cg07826859	7:44520086-45520086
cg07904865	7:627420-1627420
cg07945582	7:25706579-26706579
cg07955474	16:85435556-86435556
cg07960624	8:118708486-119708486
cg07973435	6:100405458-101405458
cg07986378	12:11398284-12398284
cg08003402	3:14811021-15811021
cg08016929	14:24397563-25397563
cg08051604	14:100809386-101809386
cg08109625	1:1536643-2536643
cg08124030	3:148595283-149595283
cg08169778	11:115346336-116346336
cg08175413	5:95794187-96794187
cg08176258	7:1438450-2438450
cg08181850	16:16700244-17700244
cg08208133	11:113348161-114348161
cg08216099	2:1225761-2225761
cg08250921	16:87611009-88611009
cg08255481	16:87603035-88603035
cg08289839	13:110818640-111818640
cg08295111	5:133366097-134366097
cg08297686	14:68443486-69443486
cg08305942	16:79192354-80192354
cg08309687	21:34820596-35820596
cg08316365	12:102012153-103012153
cg08324157	6:22955043-23955043
cg08327428	10:109141026-110141026
cg08352115	17:65856057-66856057
cg08354751	16:10950712-11950712
cg08362785	22:40314878-41314878
cg08363114	19:54211292-55211292
cg08425610	19:45529456-46529456
cg08447934	12:51811706-52811706
cg08462127	8:1517365-2517365
cg08507178	22:49857265-50857265
cg08539067	3:48895985-49895985
cg08548559	22:31186097-32186097
cg08549335	7:29887954-30887954
cg08554554	20:61830618-62830618
cg08571738	2:2105398-3105398
cg08594651	11:46915397-47915397
cg08640498	12:57328515-58328515
cg08645860	16:85469301-86469301
cg08666707	6:40956441-41956441
cg08716255	11:94933344-95933344
cg08726522	11:8239587-9239587
cg08745334	4:1254069-2254069
cg08766770	16:27623059-28623059
cg08774868	7:79899952-80899952
cg08788930	8:141701685-142701685
cg08824847	11:34552388-35552388
cg08843623	16:85127648-86127648
cg08857797	17:40427699-41427699
cg08876103	1:39072323-40072323
cg08893087	1:92916982-93916982
cg08899667	6:31261055-32261055
cg08922729	1:21413557-22413557
cg08928958	5:148678783-149678783
cg08939394	1:17114144-18114144
cg08943045	1:8543919-9543919
cg08945443	10:74693254-75693254
cg09007354	1:53600163-54600163
cg09018739	16:56680107-57680107
cg09037630	6:31028239-32028239
cg09038267	10:104024861-105024861
cg09039672	12:51867989-52867989
cg09079018	7:50380004-51380004
cg09092525	20:58070133-59070133
cg09152259	2:127656114-128656114
cg09182678	22:49828711-50828711
cg09222732	6:0-966893
cg09238801	14:73679101-74679101
cg09244312	13:41620657-42620657
cg09294084	13:113146732-114146732
cg09330596	1:150813760-151813760
cg09340403	6:137747491-138747491
cg09354692	6:159622650-160622650
cg09356916	4:23291473-24291473
cg09365924	12:53111399-54111399
cg09380069	17:53347116-54347116
cg09395195	17:29145782-30145782
cg09421562	17:55857994-56857994
cg09435170	4:183756627-184756627
cg09473207	6:154579453-155579453
cg09481056	16:1839260-2839260
cg09491962	10:98400771-99400771
cg09501509	6:89245356-90245356
cg09502149	1:42906792-43906792
cg09516200	17:78235324-79235324
cg09561830	13:99507116-100507116
cg09588020	1:27255803-28255803
cg09607047	16:13902157-14902157
cg09610644	3:196749274-197749274
cg09613192	2:180888538-181888538
cg09641325	7:133657797-134657797
cg09664445	17:2112406-3112406
cg09667394	1:77511748-78511748
cg09674502	1:92453279-93453279
cg09690103	4:14103924-15103924
cg09701700	10:103694843-104694843
cg09757158	2:0-944632
cg09777883	11:111593696-112593696
cg09791743	6:42398508-43398508
cg09810078	6:30360265-31360265
cg09823288	1:239052128-240052128
cg09874754	1:36074629-37074629
cg09876440	3:9825981-10825981
cg09879253	17:45435359-46435359
cg09888012	1:234361409-235361409
cg09931909	6:73660206-74660206
cg09935388	1:92447588-93447588
cg09983897	16:30983285-31983285
cg09996840	17:79180718-80180718
cg10042645	11:1808589-2808589
cg10045881	1:111270291-112270291
cg10092518	1:57170054-58170054
cg10101600	2:42978743-43978743
cg10160612	16:30251899-31251899
cg10172979	14:88121579-89121579
cg10207609	7:79767619-80767619
cg10241823	17:341205-1341205
cg10316899	1:39158128-40158128
cg10324158	3:44567713-45567713
cg10381071	15:69891035-70891035
cg10408430	11:73479900-74479900
cg10409253	7:5192709-6192709
cg10421247	12:120024653-121024653
cg10426084	17:1140472-2140472
cg10437839	11:64201910-65201910
cg10438589	4:14031493-15031493
cg10460946	17:75747467-76747467
cg10472711	7:297592-1297592
cg10503610	1:154333121-155333121
cg10505630	5:150551214-151551214
cg10513161	3:183205727-184205727
cg10548968	11:76302004-77302004
cg10552523	11:0-813478
cg10566581	20:34720415-35720415
cg10589813	20:48309978-49309978
cg10619342	15:64869005-65869005
cg10636246	1:158546973-159546973
cg10676309	5:137185565-138185565
cg10722267	3:197108554-198108554
cg10753966	3:55056197-56056197
cg10777347	7:87056005-88056005
cg10802680	12:122212075-123212075
cg10814005	14:91211041-92211041
cg10864794	5:77703170-78703170
cg10892950	12:45126938-46126938
cg10919522	14:73727441-74727441
cg10922280	16:67534227-68534227
cg10927968	11:1307333-2307333
cg10967866	10:133862164-134862164
cg10987503	7:422825-1422825
cg10991454	2:30334674-31334674
cg10996816	4:6403963-7403963
cg11011533	17:3174649-4174649
cg11012543	3:51731691-52731691
cg11020638	17:39960664-40960664
cg11023668	2:24595040-25595040
cg11032810	4:140557042-141557042
cg11036672	4:7976435-8976435
cg11058932	7:129872167-130872167
cg11064521	15:69106134-70106134
cg11080651	5:9945523-10945523
cg11106652	4:56419047-57419047
cg11136886	1:33109509-34109509
cg11152384	11:68434300-69434300
cg11183227	15:90955407-91955407
cg11201447	8:128308063-129308063
cg11229101	10:133730885-134730885
cg11258381	1:116850694-117850694
cg11297046	19:49157000-50157000
cg11323439	11:45764544-46764544
cg11344352	19:45427696-46427696
cg11345976	2:30364107-31364107
cg11355029	19:5776660-6776660
cg11370064	3:77818277-78818277
cg11376147	11:56761198-57761198
cg11393173	1:115869577-116869577
cg11436113	20:18691145-19691145
cg11448683	1:44774099-45774099
cg11460110	6:30030458-31030458
cg11494773	7:47628242-48628242
cg11530213	8:41537966-42537966
cg11551560	15:70028789-71028789
cg11554335	11:56836941-57836941
cg11606444	11:120853563-121853563
cg11649376	12:80973234-81973234
cg11650298	13:44190989-45190989
cg11658909	1:155010764-156010764
cg11746996	13:68959533-69959533
cg11753018	10:44969396-45969396
cg11772801	14:51211237-52211237
cg11775828	2:168600915-169600915
cg11789371	14:102051385-103051385
cg11807188	1:65424844-66424844
cg11828203	7:30514714-31514714
cg11849692	10:103375969-104375969
cg11879354	6:158575773-159575773
cg11963400	6:29612769-30612769
cg11969813	17:79316559-80316559
cg11993160	18:11904041-12904041
cg11996209	7:29099895-30099895
cg12014818	2:219244634-220244634
cg12033822	20:44490591-45490591
cg12061886	14:75246793-76246793
cg12073466	2:172569253-173569253
cg12075928	8:141301307-142301307
cg12085119	13:109931691-110931691
cg12126344	1:11707564-12707564
cg12142865	12:111711993-112711993
cg12158889	2:84163044-85163044
cg12170787	19:630965-1630965
cg12243822	3:57701182-58701182
cg12257439	2:96860893-97860893
cg12269535	6:42642014-43642014
cg12279125	8:1629970-2629970
cg12303084	20:45485741-46485741
cg12307314	5:141706724-142706724
cg12315466	2:233423814-234423814
cg12338137	2:218201429-219201429
cg12394289	6:31356706-32356706
cg12458003	1:204460826-205460826
cg12459502	18:60404237-61404237
cg12484113	1:27398757-28398757
cg12510708	7:25693805-26693805
cg12520319	15:101240264-102240264
cg12535090	11:19571677-20571677
cg12547807	1:8973751-9973751
cg12577411	6:15051489-16051489
cg12593793	1:155574135-156574135
cg12616487	11:61879063-62879063
cg12620005	1:51279655-52279655
cg12635790	8:95612814-96612814
cg12644285	15:93070953-94070953
cg12647970	6:2734297-3734297
cg12670943	22:42506541-43506541
cg12680205	10:79803482-80803482
cg12728588	1:35525489-36525489
cg12736206	1:203287773-204287773
cg12772932	6:137247335-138247335
cg12810800	2:159288345-160288345
cg12866551	10:19519641-20519641
cg12880685	10:119989658-120989658
cg12939085	11:66666104-67666104
cg12955084	19:41386265-42386265
cg12972064	3:171387393-172387393
cg12973294	4:119369807-120369807
cg12992827	3:101401234-102401234
cg13010621	6:91844723-92844723
cg13026137	6:31201260-32201260
cg13033858	12:108748326-109748326
cg13059136	11:2486541-3486541
cg13061976	15:84859001-85859001
cg13074055	14:105829206-106829206
cg13092901	22:50465373-51465373
cg13097800	14:46604140-47604140
cg13100962	11:33421158-34421158
cg13112407	2:96704931-97704931
cg13119578	11:64696696-65696696
cg13123009	6:31181882-32181882
cg13126206	8:22430189-23430189
cg13134297	7:30237556-31237556
cg13139542	2:7742815-8742815
cg13150925	12:124029439-125029439
cg13165240	17:3215743-4215743
cg13180098	3:128746923-129746923
cg13203811	12:57636245-58636245
cg13222915	1:184098594-185098594
cg13256912	3:10711081-11711081
cg13258453	6:24680502-25680502
cg13270236	6:42158437-43158437
cg13274938	17:37993822-38993822
cg13280803	11:29755943-30755943
cg13354241	2:63947091-64947091
cg13359998	1:229741764-230741764
cg13378649	1:222427856-223427856
cg13410764	9:89907888-90907888
cg13447080	8:130554408-131554408
cg13480465	4:16295757-17295757
cg13518625	8:29022838-30022838
cg13519902	3:50139079-51139079
cg13522406	6:30081820-31081820
cg13526915	14:23664078-24664078
cg13562284	11:31610323-32610323
cg13573513	12:14496143-15496143
cg13583523	5:24264190-25264190
cg13585930	10:71527357-72527357
cg13591783	9:75268868-76268868
cg13607323	5:124026339-125026339
cg13619623	7:33137324-34137324
cg13661827	9:111385602-112385602
cg13696490	3:150988006-151988006
cg13696706	9:123896830-124896830
cg13707794	21:35389668-36389668
cg13708645	12:121474305-122474305
cg13708803	8:138398243-139398243
cg13709639	12:49026040-50026040
cg13745870	3:56594763-57594763
cg13758913	18:23783684-24783684
cg13770461	11:45516312-46516312
cg13781414	9:138451648-139451648
cg13784312	9:134109065-135109065
cg13787850	9:101695951-102695951
cg13803727	9:88945247-89945247
cg13821176	8:125948338-126948338
cg13823169	9:139276893-140276893
cg13854219	1:101257037-102257037
cg13883633	15:41451695-42451695
cg13946956	9:399635-1399635
cg13984040	12:124758948-125758948
cg13997435	1:153038406-154038406
cg14016363	7:99986297-100986297
cg14017402	2:85725602-86725602
cg14020176	17:72264985-73264985
cg14024579	9:138832845-139832845
cg14030402	1:53182341-54182341
cg14044707	9:132128998-133128998
cg14099685	11:47046068-48046068
cg14113958	9:117157237-118157237
cg14114377	19:45256845-46256845
cg14162417	1:225815857-226815857
cg14176339	17:78744542-79744542
cg14205864	13:113341719-114341719
cg14266156	17:54329018-55329018
cg14277403	9:100248520-101248520
cg14330293	17:874051-1874051
cg14334350	9:138900168-139900168
cg14334460	9:139846899-140846899
cg14341014	6:130961133-131961133
cg14352682	6:30114168-31114168
cg14354820	8:41191767-42191767
cg14360917	17:45492122-46492122
cg14387452	9:20012334-21012334
cg14406814	9:9732876-10732876
cg14423778	3:151485433-152485433
cg14427590	17:60195089-61195089
cg14468090	3:128532864-129532864
cg14476101	1:119755992-120755992
cg14520947	1:225442842-226442842
cg14548802	9:137175380-138175380
cg14553895	3:178399170-179399170
cg14597545	15:72574210-73574210
cg14620184	2:29441470-30441470
cg14622879	6:11734001-12734001
cg14622996	6:31609801-32609801
cg14649449	9:72160082-73160082
cg14702231	8:10913234-11913234
cg14722693	8:18936451-19936451
cg14728380	17:79780330-80780330
cg14761417	7:130136860-131136860
cg14786790	4:89266654-90266654
cg14816825	11:11628203-12628203
cg14849578	12:124782480-125782480
cg14852355	15:73738744-74738744
cg14928764	20:22564608-23564608
cg14929076	20:54541057-55541057
cg14959425	7:19947707-20947707
cg14968553	5:153100167-154100167
cg14989202	1:9214843-10214843
cg15020801	17:45522809-46522809
cg15030712	7:28804984-29804984
cg15033511	17:54494023-55494023
cg15034393	3:152356773-153356773
